player,nation,pos,age,playing_time_min,squad,attack_profile,hidden_gem,high_potential_youth,elite_performer,overall_impact,Finisher_score,Dribbler_score,Playmaker_score,Volume Shooter_score
Ilaix Moriba,gn GUI,MF,22,453.0,Celta Vigo,Playmaker,False,False,False,0.0483,-0.3254,-0.7322,0.2967,-0.0267
Víctor Muñoz,es ESP,"FW,MF",22,493.0,Osasuna,Dribbler,False,True,True,0.1444,0.5762,2.0194,1.4965,0.3633
Roberto Navarro,es ESP,"FW,MF",23,246.0,Athletic Club,Finisher,False,False,False,0.0668,0.7976,0.0169,0.3771,-0.0033
Martim Neto,pt POR,MF,22,267.0,Elche,Playmaker,True,True,False,0.0965,0.0278,0.6919,1.0686,0.1833
Aimar Oroz,es ESP,"FW,MF",23,313.0,Osasuna,Volume Shooter,False,True,False,0.0766,-0.2937,0.0843,0.5355,0.8933
Pedri,es ESP,MF,22,693.0,Barcelona,Dribbler,False,True,False,0.085,0.5198,1.1797,0.5154,-0.0567
Francisco Perez,es ESP,"MF,FW",23,202.0,Rayo Vallecano,Finisher,False,True,False,0.0754,1.7262,0.2111,0.0922,-0.1933
Yeremi Pino,es ESP,"MF,FW",22,159.0,Villarreal,Playmaker,False,False,False,0.0366,-0.0119,-0.7218,0.3889,-0.1133
Hugo Rincón,es ESP,"DF,MF",22,416.0,Girona,Dribbler,False,False,False,0.0541,-0.3492,0.2969,0.2104,-0.3467
Joel Roca,es ESP,"FW,MF",20,367.0,Girona,Dribbler,False,True,True,0.1081,0.5675,1.4122,0.2104,0.3267
Álvaro Rodríguez,uy URU,FW,21,437.0,Elche,Dribbler,False,True,True,0.1099,-0.496,1.0963,0.7636,0.3333
Damián Rodríguez,es ESP,MF,22,90.0,Celta Vigo,Volume Shooter,False,False,False,0.0248,-0.1825,-0.1592,-0.1229,0.51
Miguel Román,es ESP,MF,22,159.0,Celta Vigo,Volume Shooter,False,False,False,0.031,-0.4048,-0.4372,-0.1229,-0.1133
Javier Rueda Garcia,es ESP,"DF,MF",23,340.0,Celta Vigo,Finisher,False,False,False,0.0674,0.8651,0.0009,0.5095,-0.1367
Juanlu Sánchez,es ESP,"DF,FW",22,400.0,Sevilla,Playmaker,False,True,False,0.0777,-0.2381,0.5007,0.7849,-0.2633
Nicolás Serrano,es ESP,FW,22,117.0,Athletic Club,Volume Shooter,False,False,False,0.0495,-0.2937,-0.2129,-0.0118,0.7933
Giuliano Simeone,ar ARG,"MF,FW",22,607.0,Atlético Madrid,Playmaker,False,True,True,0.1228,-0.5746,0.8607,1.753,0.2033
Jhon Solis,co COL,MF,21,300.0,Girona,Finisher,False,False,False,0.0428,-0.0635,-0.0742,-0.1229,-0.39
Hugo Sotelo,es ESP,MF,21,536.0,Celta Vigo,Playmaker,False,False,False,0.0178,-0.1151,-0.1592,0.0532,-0.4333
Orri Steinn Óskarsson,is ISL,FW,21,113.0,Real Sociedad,Finisher,True,True,False,0.0824,1.5151,0.8678,-0.1229,0.3067
Luka Sučić,hr CRO,MF,23,123.0,Real Sociedad,Finisher,False,False,False,0.047,0.0516,0.0053,-0.1229,-0.0033
Williot Swedberg,se SWE,"MF,FW",21,236.0,Celta Vigo,Playmaker,False,False,False,0.0353,-0.2381,-0.1692,-0.0674,-0.2367
Pablo Torre,es ESP,"MF,FW",22,473.0,Mallorca,Playmaker,False,False,False,0.0392,-0.0317,-0.3205,0.3014,-0.3
Beñat Turrientes,es ESP,MF,23,239.0,Real Sociedad,Dribbler,False,False,False,0.0611,-0.0873,0.3868,0.0993,0.2633
Christantus Uche,ng NGA,FW,22,270.0,Getafe,Playmaker,True,True,False,0.0944,0.1595,0.3954,0.8369,0.1767
Germán Valera,es ESP,"FW,DF",23,529.0,Elche,Playmaker,False,True,False,0.0915,0.7302,0.0989,1.169,-0.2067
Vladyslav Vanat,ua UKR,FW,23,347.0,Girona,Finisher,False,True,False,0.0799,1.1444,0.0053,0.1915,0.1167
Nico Williams,es ESP,FW,23,291.0,Athletic Club,Dribbler,False,True,True,0.1418,-0.2143,1.8243,1.818,0.3333
Lamine Yamal,es ESP,FW,18,303.0,Barcelona,Playmaker,False,True,True,0.2395,0.9127,2.572,3.6749,1.89
Jayden Addai,nl NED,FW,20,183.0,Como,Finisher,False,True,False,0.071,1.0397,0.0447,0.266,0.33
Vasilije Adžić,me MNE,MF,19,109.0,Juventus,Finisher,True,True,False,0.0894,2.0714,-0.2617,-0.0674,1.3867
Ebenezer Akinsanmiro,ng NGA,MF,20,389.0,Pisa,Dribbler,False,False,False,0.0658,0.0,0.4029,0.266,-0.18
Kristjan Asllani,al ALB,MF,23,409.0,Torino,Dribbler,False,False,False,0.0553,-0.0952,0.8678,-0.0449,-0.1233
Arthur Atta,fr FRA,MF,22,519.0,Udinese,Dribbler,False,True,True,0.1619,0.5698,1.7699,1.6678,0.4333
Tommaso Baldanzi,it ITA,"MF,FW",22,121.0,Roma,Volume Shooter,False,False,False,0.0251,-0.2937,-0.6801,-0.0674,0.2533
Reda Belahyane,ma MAR,MF,21,154.0,Lazio,Playmaker,False,False,False,0.0494,-0.127,0.0053,0.4586,-0.49
Rafik Belghali,dz ALG,"DF,FW",23,387.0,Hellas Verona,Dribbler,False,False,False,0.0631,-0.0913,0.631,0.266,-0.3333
Medon Berisha,al ALB,MF,21,263.0,Lecce,Volume Shooter,False,False,False,0.0355,-0.0476,-0.1279,0.1643,0.4667
Warren Bondo,fr FRA,MF,22,428.0,Cremonese,Dribbler,False,False,False,0.0378,-0.127,0.0266,-0.1229,-0.42
Ange-Yoan Bonny,fr FRA,FW,21,135.0,Inter,Finisher,True,True,False,0.0936,2.723,-0.3205,0.831,0.1767
Iker Bravo,es ESP,FW,20,165.0,Udinese,Finisher,False,False,False,0.0397,1.269,-0.5655,-0.1229,0.0567
Francesco Camarda,it ITA,FW,17,204.0,Lecce,Finisher,False,False,False,0.0655,0.881,0.0782,0.0437,0.2467
Matteo Cancellieri,it ITA,FW,23,389.0,Lazio,Finisher,False,True,False,0.0867,1.6,-0.0358,0.6253,0.3567
Valentin Carboni,ar ARG,"MF,FW",20,216.0,Genoa,Dribbler,False,False,False,0.0589,-0.0714,0.4196,0.0993,-0.2133
Cesare Casadei,it ITA,MF,22,468.0,Torino,Volume Shooter,False,False,False,0.0421,-0.3016,-0.2129,-0.1229,-0.04
Santiago Castro,ar ARG,FW,21,328.0,Bologna,Finisher,False,False,False,0.0388,0.7651,-0.0654,0.0284,0.2433
Lorenzo Colombo,it ITA,FW,23,364.0,Genoa,Volume Shooter,False,False,False,0.0472,-0.4444,-0.1276,-0.1229,0.4167
Francisco Conceição,pt POR,MF,22,298.0,Juventus,Playmaker,False,True,True,0.1196,0.8786,0.7136,1.1998,0.2133
Jeff Ekhator,it ITA,"FW,DF",18,145.0,Genoa,Finisher,False,False,False,0.0606,0.8413,0.0053,0.0437,0.3367
Mikael Ellertsson,is ISL,"FW,DF",23,434.0,Genoa,Finisher,False,False,False,0.0597,0.5357,0.0782,0.1548,-0.1433
Francesco Esposito,it ITA,FW,20,156.0,Inter,Volume Shooter,False,False,False,0.0512,0.7595,-0.5655,0.0437,0.8567
Sebastiano Esposito,it ITA,"FW,MF",23,429.0,Cagliari,Volume Shooter,False,False,False,0.055,-0.2937,0.1223,0.1548,0.21
Giovanni Fabbian,it ITA,MF,22,248.0,Bologna,Volume Shooter,False,False,False,0.0402,-0.3492,-0.1603,0.2104,0.2367
Alieu Fadera,gm GAM,"FW,MF",23,155.0,Sassuolo,Finisher,True,True,False,0.0911,1.3254,0.2042,1.1217,-0.1033
Jacopo Fazzini,it ITA,MF,22,266.0,Fiorentina,Volume Shooter,False,False,False,0.0513,-0.1032,-0.0664,0.0437,0.0733
Evan Ferguson,ie IRL,FW,20,286.0,Roma,Playmaker,False,False,False,0.059,-0.0317,-0.1276,0.3783,0.2433
Gvidas Gineitis,lt LTU,"MF,FW",21,117.0,Torino,Dribbler,False,False,False,0.0487,-0.127,0.6228,-0.0674,-0.49
